"cutoff","level","temporal","seasonal","spatial","period","draws","probability_q025","probability_median","probability_q975","fraction_below_001","fraction_above_099","mean_adjacent_month_logit_change"
2016,"site","rw1",FALSE,"none","training",5000,0.00459152511986062,0.0956492392317235,0.71720811689174,0.06872,4e-05,0.269168470431901
2016,"site","rw1",FALSE,"none","forecast",5000,0.00401174965784819,0.0970750888696934,0.740574384533885,0.0758722222222222,0.000111111111111111,0.269399190416765
2016,"site","rw1",TRUE,"none","training",5000,0.00433228668891116,0.102734181325219,0.756140647421806,0.07445,1.66666666666667e-05,0.348666873797844
2016,"site","rw1",TRUE,"none","forecast",5000,0.00360691269206971,0.103138064523542,0.788146835138798,0.0857833333333333,0.000272222222222222,0.348379344217828
2016,"county","rw1",FALSE,"iid","training",5000,0.00447239338005876,0.101756209653285,0.751294760533206,0.06967,0.00027,0.265268871762997
2016,"county","rw1",FALSE,"iid","forecast",5000,0.00382707156859425,0.101321526281079,0.773838567394053,0.0773611111111111,0.000888888888888889,0.265115203705523
2016,"county","rw1",TRUE,"iid","training",5000,0.00375407722217501,0.0965345619171544,0.755731189784024,0.07936,5.33333333333333e-05,0.350775304861652
2016,"county","rw1",TRUE,"iid","forecast",5000,0.00323056391423245,0.0970955232488319,0.782936158237624,0.0872166666666667,0.000222222222222222,0.350406472284696
2016,"county","rw1",FALSE,"bym2","training",5000,0.00379360520863483,0.100312850036633,0.724497879482492,0.0767433333333333,3e-05,0.262754627042805
2016,"county","rw1",FALSE,"bym2","forecast",5000,0.00333088173815244,0.0996552874337681,0.752405287832367,0.0834888888888889,0.000338888888888889,0.261871141543751
2016,"county","rw1",TRUE,"bym2","training",5000,0.00396304735795166,0.103747286210659,0.750623092412232,0.0731833333333333,2e-05,0.352884209902258
2016,"county","rw1",TRUE,"bym2","forecast",5000,0.00338626717187161,0.103856540176789,0.782104149346952,0.0816833333333333,0.000455555555555556,0.352873652180145
2016,"site","ar1",FALSE,"none","training",5000,0.00436860213656651,0.101294599124131,0.73733071832306,0.0676433333333333,6.66666666666667e-06,0.294320549290561
2016,"site","ar1",FALSE,"none","forecast",5000,0.00444304156488677,0.101839755907795,0.737929115221623,0.0667722222222222,1.11111111111111e-05,0.294760646179931
2016,"site","ar1",TRUE,"none","training",5000,0.00371529979975804,0.09552125514795,0.729612034818768,0.0813733333333333,1e-05,0.370618750338429
2016,"site","ar1",TRUE,"none","forecast",5000,0.0038137822050819,0.096597736627983,0.731286248867128,0.0807722222222222,5.55555555555556e-06,0.371272504261395
2016,"county","ar1",FALSE,"iid","training",5000,0.00422964444914377,0.0976975584666075,0.742218370870954,0.0731566666666667,1.66666666666667e-05,0.286364560355182
2016,"county","ar1",FALSE,"iid","forecast",5000,0.00425776214708354,0.098371109620859,0.747175032484136,0.0723833333333333,2.77777777777778e-05,0.286355523726104
2016,"county","ar1",TRUE,"iid","training",5000,0.00398043485639505,0.0999731421343185,0.76918423169766,0.0771166666666667,0.000186666666666667,0.376138006538064
2016,"county","ar1",TRUE,"iid","forecast",5000,0.00401224874986149,0.100136533013153,0.7690070536489,0.0779666666666667,0.000238888888888889,0.37515050713341
2016,"county","ar1",FALSE,"bym2","training",5000,0.00420559349251606,0.101786516632215,0.729435561122299,0.0687333333333333,0.000326666666666667,0.28847767265292
2016,"county","ar1",FALSE,"bym2","forecast",5000,0.00429381161209052,0.101601521327254,0.728126249850261,0.0685166666666667,0.000216666666666667,0.286366071065255
2016,"county","ar1",TRUE,"bym2","training",5000,0.00433680887987349,0.097384988649578,0.760556788638654,0.0725666666666667,5.66666666666667e-05,0.368272526425621
2016,"county","ar1",TRUE,"bym2","forecast",5000,0.00438480720162705,0.0978370404627314,0.756516324498762,0.0727833333333333,7.22222222222222e-05,0.369432771675884
